Type of Diet,Gender,Age Group,Mean GHG emissions,Mean Agricultural Land Use,Mean Water Scarcity,Mean Eutrophication Potential,Mean GHG from CH4 emissions,Mean GHG from N2O,Mean Biodiversity Impact,Mean Agricultural Water Usage,Mean Acidification Potential
Fish-eaters,Female,20-29,4.902947125,6.489030807,17131.96335,20.98546418,0.842863532,0.322486107,248.1352117,759.2372106,22.77095614
Fish-eaters,Female,30-39,4.942664484,6.515886259,17652.62854,20.94844235,0.836500414,0.321970772,249.8276841,759.6296132,23.25777137
Fish-eaters,Female,40-49,4.927040173,6.540681895,17729.96476,20.71379812,0.841105794,0.320413037,252.8469224,748.4887549,23.47016991
Fish-eaters,Female,50-59,4.944320334,6.566172011,18446.19326,20.98928406,0.834881286,0.323892205,246.7899116,788.9322758,23.65247352
Fish-eaters,Female,60-69,5.103822519,6.866635217,18922.36683,21.56932183,0.879670012,0.336023123,258.6457589,819.8566043,24.45523961
Fish-eaters,Female,70-79,4.990762891,6.87472761,18969.98305,21.03188871,0.856399301,0.339623118,259.346574,798.6883515,23.79125871
Fish-eaters,Male,20-29,5.659688871,7.381889374,19671.02465,24.16296423,0.925972459,0.366328778,273.6123087,860.979744,26.0788977
Fish-eaters,Male,30-39,5.327205953,6.977105922,18953.09516,22.64406376,0.854536976,0.343782185,262.3608382,818.7127749,24.71014594
Fish-eaters,Male,40-49,5.201802609,6.89094156,18288.93759,21.8373651,0.844988264,0.334051387,258.0881296,782.1927529,24.02017974
Fish-eaters,Male,50-59,5.142355789,6.693609079,18449.19058,21.62109527,0.834246074,0.330226229,253.0405656,792.1768307,24.15116508
Fish-eaters,Male,60-69,5.153826681,7.048903699,18767.05743,21.62918784,0.865625218,0.343165849,259.6548955,799.0613245,24.00580233
Fish-eaters,Male,70-79,5.303953642,7.391856969,19804.95847,22.63450994,0.901249895,0.35798155,265.8995933,854.7060663,24.85730758
Low Meat-eaters,Female,20-29,5.386157689,8.05425951,16975.91272,22.89732592,1.000035054,0.375466777,258.6102002,742.8158816,25.07829222
Low Meat-eaters,Female,30-39,5.489000438,8.02911643,17506.08503,23.11793722,1.010241532,0.374895624,259.5453969,761.7751712,25.79986945
Low Meat-eaters,Female,40-49,5.604987137,8.371516718,17389.59927,23.29449121,1.050075269,0.382423534,264.7954058,756.5947247,26.27291678
Low Meat-eaters,Female,50-59,5.743810547,8.58914802,17812.88624,23.68441199,1.089556732,0.390634887,265.9874303,789.6431719,27.16503069
Low Meat-eaters,Female,60-69,5.861660341,8.773431484,18049.55935,24.15851529,1.135358131,0.397277271,274.4858945,803.4821626,27.92901125
Low Meat-eaters,Female,70-79,5.836041362,8.74388245,18143.59588,23.97036851,1.137671006,0.39739155,273.3049905,809.8738491,27.64863837
